id,duration,start_date,start_station_name,start_station_id,end_date,end_station_name,end_station_id,bike_id,subscription_type,zip_code
4559,242,8/29/13 13:58,South Van Ness at Market,66,8/29/13 14:02,San Francisco City Hall,58,554,Subscriber,94115
4880,242,8/29/13 18:10,Clay at Battery,41,8/29/13 18:14,Washington at Kearney,46,530,Subscriber,94115
4668,243,8/29/13 15:39,San Francisco Caltrain 2 (330 Townsend),69,8/29/13 15:43,Townsend at 7th,65,489,Subscriber,94107
4667,244,8/29/13 15:39,San Francisco Caltrain 2 (330 Townsend),69,8/29/13 15:43,Townsend at 7th,65,431,Subscriber,94109
4443,245,8/29/13 12:56,Market at Sansome,77,8/29/13 13:00,Steuart at Market,74,436,Customer,94960
5105,245,8/29/13 23:12,Townsend at 7th,65,8/29/13 23:16,San Francisco Caltrain (Townsend at 4th),70,348,Customer,37206
4341,252,8/29/13 12:13,San Francisco City Hall,58,8/29/13 12:17,South Van Ness at Market,66,547,Subscriber,94115
4423,254,8/29/13 12:50,Harry Bridges Plaza (Ferry Building),50,8/29/13 12:54,Clay at Battery,41,544,Subscriber,94070
4911,259,8/29/13 18:38,San Francisco City Hall,58,8/29/13 18:42,South Van Ness at Market,66,411,Subscriber,94131
4504,262,8/29/13 13:29,Civic Center BART (7th at Market),72,8/29/13 13:34,Market at 10th,67,398,Subscriber,94114
4584,262,8/29/13 14:17,South Van Ness at Market,66,8/29/13 14:21,South Van Ness at Market,66,587,Subscriber,94612
4599,265,8/29/13 14:31,Embarcadero at Sansome,60,8/29/13 14:35,Davis at Jackson,42,425,Customer,2360
4801,265,8/29/13 17:24,San Francisco City Hall,58,8/29/13 17:28,San Francisco City Hall,58,554,Subscriber,94109
4870,266,8/29/13 18:06,Market at 4th,76,8/29/13 18:10,Beale at Market,56,626,Customer,43214
4743,267,8/29/13 16:51,Evelyn Park and Ride,30,8/29/13 16:55,Mountain View Caltrain Station,28,54,Customer,94107
4799,267,8/29/13 17:19,Davis at Jackson,42,8/29/13 17:24,Steuart at Market,74,399,Subscriber,94105
5006,269,8/29/13 20:09,Market at 4th,76,8/29/13 20:14,Powell at Post (Union Square),71,528,Subscriber,94109
4686,273,8/29/13 15:59,Market at Sansome,77,8/29/13 16:03,Temporary Transbay Terminal (Howard at Beale),55,624,Customer,
4906,277,8/29/13 18:28,University and Emerson,35,8/29/13 18:33,Cowper at University,37,93,Customer,94303
4177,278,8/29/13 11:03,San Francisco Caltrain (Townsend at 4th),70,8/29/13 11:08,2nd at South Park,64,371,Subscriber,94117
4436,284,8/29/13 12:55,Embarcadero at Sansome,60,8/29/13 13:00,Embarcadero at Vallejo,48,488,Subscriber,94109
5057,284,8/29/13 21:10,Yerba Buena Center of the Arts (3rd @ Howard),68,8/29/13 21:15,Market at Sansome,77,413,Subscriber,94117
4084,287,8/29/13 9:41,Mountain View City Hall,27,8/29/13 9:46,Mountain View City Hall,27,138,Customer,97214
4595,288,8/29/13 14:31,Embarcadero at Sansome,60,8/29/13 14:36,Davis at Jackson,42,356,Customer,1719
4377,289,8/29/13 12:27,Market at Sansome,77,8/29/13 12:32,Temporary Transbay Terminal (Howard at Beale),55,471,Subscriber,94965
4600,291,8/29/13 14:33,San Pedro Square,6,8/29/13 14:38,San Jose City Hall,10,35,Subscriber,95138
4959,292,8/29/13 19:18,Townsend at 7th,65,8/29/13 19:23,San Francisco Caltrain 2 (330 Townsend),69,361,Customer,94109
4828,293,8/29/13 17:41,Palo Alto Caltrain Station,34,8/29/13 17:46,University and Emerson,35,160,Subscriber,94107
4450,298,8/29/13 13:01,Embarcadero at Vallejo,48,8/29/13 13:06,Davis at Jackson,42,598,Subscriber,94109
4558,298,8/29/13 13:57,Embarcadero at Bryant,54,8/29/13 14:02,Harry Bridges Plaza (Ferry Building),50,275,Subscriber,94109
4657,298,8/29/13 15:30,5th at Howard,57,8/29/13 15:35,5th at Howard,57,631,Subscriber,94123
4796,305,8/29/13 17:22,Civic Center BART (7th at Market),72,8/29/13 17:27,Market at 4th,76,332,Subscriber,94110
4331,307,8/29/13 12:12,University and Emerson,35,8/29/13 12:17,Cowper at University,37,144,Subscriber,94025
4280,309,8/29/13 11:53,San Francisco City Hall,58,8/29/13 11:58,South Van Ness at Market,66,636,Subscriber,94117
4290,309,8/29/13 11:58,Powell Street BART,39,8/29/13 12:03,Market at 10th,67,496,Customer,94107
4876,309,8/29/13 18:09,2nd at Townsend,61,8/29/13 18:14,San Francisco Caltrain 2 (330 Townsend),69,565,Customer,95126
4766,315,8/29/13 17:05,San Mateo County Center,23,8/29/13 17:10,San Mateo County Center,23,227,Subscriber,94402
4871,316,8/29/13 18:06,5th at Howard,57,8/29/13 18:11,San Francisco Caltrain (Townsend at 4th),70,348,Customer,94107
5078,318,8/29/13 21:53,Civic Center BART (7th at Market),72,8/29/13 21:59,Powell Street BART,39,611,Subscriber,94115
4744,319,8/29/13 16:52,5th at Howard,57,8/29/13 16:57,San Francisco Caltrain (Townsend at 4th),70,379,Customer,95032
4376,320,8/29/13 12:27,Clay at Battery,41,8/29/13 12:32,Harry Bridges Plaza (Ferry Building),50,534,Subscriber,94115
4392,323,8/29/13 12:34,Harry Bridges Plaza (Ferry Building),50,8/29/13 12:39,Embarcadero at Vallejo,48,428,Subscriber,94123
4602,323,8/29/13 14:34,Commercial at Montgomery,45,8/29/13 14:39,Davis at Jackson,42,326,Customer,94111
5100,323,8/29/13 22:50,Steuart at Market,74,8/29/13 22:56,Spear at Folsom,49,317,Subscriber,94105
4448,324,8/29/13 13:01,Embarcadero at Vallejo,48,8/29/13 13:06,Davis at Jackson,42,621,Subscriber,94121
4722,327,8/29/13 16:32,San Salvador at 1st,8,8/29/13 16:37,San Jose Civic Center,3,81,Subscriber,95112
4850,327,8/29/13 17:53,Cowper at University,37,8/29/13 17:59,University and Emerson,35,95,Subscriber,94107
4615,332,8/29/13 14:55,Market at 4th,76,8/29/13 15:01,Howard at 2nd,63,606,Subscriber,94109
4582,335,8/29/13 14:14,2nd at Folsom,62,8/29/13 14:20,2nd at Folsom,62,342,Subscriber,94123
4640,335,8/29/13 15:19,2nd at South Park,64,8/29/13 15:24,San Francisco Caltrain (Townsend at 4th),70,438,Subscriber,94110
4805,336,8/29/13 17:26,Santa Clara at Almaden,4,8/29/13 17:32,San Jose City Hall,10,26,Subscriber,95066
4715,337,8/29/13 16:23,San Francisco Caltrain (Townsend at 4th),70,8/29/13 16:29,Townsend at 7th,65,489,Customer,94109
4941,337,8/29/13 19:05,Embarcadero at Vallejo,48,8/29/13 19:11,Harry Bridges Plaza (Ferry Building),50,327,Subscriber,94103
4454,340,8/29/13 13:05,Market at Sansome,77,8/29/13 13:10,Washington at Kearney,46,590,Subscriber,94107
4647,340,8/29/13 15:26,Golden Gate at Polk,59,8/29/13 15:32,Powell Street BART,39,432,Subscriber,94102
4750,342,8/29/13 16:57,Yerba Buena Center of the Arts (3rd @ Howard),68,8/29/13 17:03,Powell Street BART,39,549,Subscriber,94109
4393,343,8/29/13 12:34,Commercial at Montgomery,45,8/29/13 12:40,Market at Sansome,77,319,Subscriber,94103
4822,343,8/29/13 17:37,San Jose City Hall,10,8/29/13 17:43,San Pedro Square,6,196,Subscriber,95138
4300,346,8/29/13 12:03,Post at Kearney,47,8/29/13 12:09,Harry Bridges Plaza (Ferry Building),50,603,Customer,94105
4968,346,8/29/13 19:35,Embarcadero at Bryant,54,8/29/13 19:41,Spear at Folsom,49,512,Subscriber,94105
4890,347,8/29/13 18:13,Davis at Jackson,42,8/29/13 18:19,Beale at Market,56,326,Subscriber,94123
5075,348,8/29/13 21:47,South Van Ness at Market,66,8/29/13 21:52,Civic Center BART (7th at Market),72,598,Subscriber,94115
4570,351,8/29/13 14:06,Harry Bridges Plaza (Ferry Building),50,8/29/13 14:12,Washington at Kearney,46,275,Subscriber,94109
4278,353,8/29/13 11:52,Harry Bridges Plaza (Ferry Building),50,8/29/13 11:58,Commercial at Montgomery,45,596,Subscriber,94123
4399,355,8/29/13 12:39,Redwood City Caltrain Station,22,8/29/13 12:45,Redwood City Medical Center,26,74,Subscriber,94041
4660,355,8/29/13 15:32,Powell at Post (Union Square),71,8/29/13 15:38,Post at Kearney,47,408,Customer,94102
4745,360,8/29/13 16:52,Embarcadero at Folsom,51,8/29/13 16:58,Temporary Transbay Terminal (Howard at Beale),55,271,Subscriber,94133
4955,360,8/29/13 19:15,Golden Gate at Polk,59,8/29/13 19:21,Market at 10th,67,498,Subscriber,94608
4785,361,8/29/13 17:13,Yerba Buena Center of the Arts (3rd @ Howard),68,8/29/13 17:19,San Francisco Caltrain (Townsend at 4th),70,562,Subscriber,94401
4730,362,8/29/13 16:37,Townsend at 7th,65,8/29/13 16:43,San Francisco Caltrain (Townsend at 4th),70,615,Subscriber,94112
4786,362,8/29/13 17:14,Market at 10th,67,8/29/13 17:20,Golden Gate at Polk,59,351,Subscriber,94597
4447,363,8/29/13 13:00,Steuart at Market,74,8/29/13 13:06,Spear at Folsom,49,341,Subscriber,94112
5032,363,8/29/13 20:33,San Jose Civic Center,3,8/29/13 20:39,San Pedro Square,6,683,Customer,95123
4312,369,8/29/13 12:06,Commercial at Montgomery,45,8/29/13 12:12,Mechanics Plaza (Market at Battery),75,378,Subscriber,94117
4695,369,8/29/13 16:05,Townsend at 7th,65,8/29/13 16:11,San Francisco Caltrain (Townsend at 4th),70,431,Customer,95118
4700,369,8/29/13 16:12,Davis at Jackson,42,8/29/13 16:18,Grant Avenue at Columbus Avenue,73,510,Customer,2360
4875,370,8/29/13 18:08,Embarcadero at Sansome,60,8/29/13 18:14,Davis at Jackson,42,421,Subscriber,94110
4659,371,8/29/13 15:32,Powell at Post (Union Square),71,8/29/13 15:38,Post at Kearney,47,538,Customer,94102
4998,374,8/29/13 19:57,Harry Bridges Plaza (Ferry Building),50,8/29/13 20:04,Spear at Folsom,49,276,Subscriber,94105
4496,375,8/29/13 13:19,Townsend at 7th,65,8/29/13 13:25,San Francisco Caltrain (Townsend at 4th),70,413,Subscriber,94107
4716,375,8/29/13 16:24,San Francisco Caltrain (Townsend at 4th),70,8/29/13 16:30,Townsend at 7th,65,382,Customer,95118
4527,376,8/29/13 13:39,Yerba Buena Center of the Arts (3rd @ Howard),68,8/29/13 13:45,Powell Street BART,39,522,Subscriber,94610
4612,376,8/29/13 14:46,St James Park,13,8/29/13 14:53,Japantown,9,188,Subscriber,95112
4204,378,8/29/13 11:06,San Jose City Hall,10,8/29/13 11:13,San Jose City Hall,10,28,Subscriber,95136
4731,378,8/29/13 16:36,Beale at Market,56,8/29/13 16:43,Commercial at Montgomery,45,324,Customer,94118
4883,378,8/29/13 18:12,Market at 4th,76,8/29/13 18:18,Howard at 2nd,63,332,Subscriber,94114
4517,379,8/29/13 13:34,San Salvador at 1st,8,8/29/13 13:41,San Jose City Hall,10,661,Subscriber,95112
4429,380,8/29/13 12:53,Embarcadero at Sansome,60,8/29/13 13:00,Embarcadero at Vallejo,48,491,Subscriber,94121
4699,380,8/29/13 16:12,Davis at Jackson,42,8/29/13 16:18,Grant Avenue at Columbus Avenue,73,443,Customer,1719
4434,384,8/29/13 12:55,Yerba Buena Center of the Arts (3rd @ Howard),68,8/29/13 13:01,San Francisco Caltrain 2 (330 Townsend),69,555,Subscriber,94117
4408,385,8/29/13 12:41,5th at Howard,57,8/29/13 12:48,Powell at Post (Union Square),71,538,Customer,37206
4961,387,8/29/13 19:21,Temporary Transbay Terminal (Howard at Beale),55,8/29/13 19:28,5th at Howard,57,471,Subscriber,94103
5099,387,8/29/13 22:35,San Jose Civic Center,3,8/29/13 22:41,San Jose Diridon Caltrain Station,2,675,Subscriber,95126
4725,388,8/29/13 16:34,Embarcadero at Bryant,54,8/29/13 16:41,Steuart at Market,74,277,Subscriber,94109
4347,389,8/29/13 12:15,San Jose City Hall,10,8/29/13 12:21,San Pedro Square,6,146,Subscriber,95112
5095,390,8/29/13 22:15,Market at Sansome,77,8/29/13 22:21,Steuart at Market,74,501,Subscriber,94115
5102,392,8/29/13 22:53,San Francisco Caltrain (Townsend at 4th),70,8/29/13 23:00,Howard at 2nd,63,348,Customer,37206
4414,393,8/29/13 12:44,San Francisco Caltrain 2 (330 Townsend),69,8/29/13 12:50,San Francisco Caltrain 2 (330 Townsend),69,259,Customer,91127
5050,396,8/29/13 21:01,Powell Street BART,39,8/29/13 21:07,Civic Center BART (7th at Market),72,402,Subscriber,94103
4334,398,8/29/13 12:12,Market at Sansome,77,8/29/13 12:19,Harry Bridges Plaza (Ferry Building),50,428,Customer,94709
4385,398,8/29/13 12:30,Civic Center BART (7th at Market),72,8/29/13 12:37,Golden Gate at Polk,59,397,Subscriber,94109
4981,399,8/29/13 19:41,South Van Ness at Market,66,8/29/13 19:47,Market at 10th,67,632,Subscriber,94110
5062,402,8/29/13 21:27,Post at Kearney,47,8/29/13 21:34,Howard at 2nd,63,616,Subscriber,94105
4970,404,8/29/13 19:36,5th at Howard,57,8/29/13 19:43,Powell at Post (Union Square),71,320,Subscriber,94109
4458,405,8/29/13 13:05,Powell at Post (Union Square),71,8/29/13 13:12,Powell at Post (Union Square),71,458,Subscriber,94102
4879,405,8/29/13 18:10,Post at Kearney,47,8/29/13 18:17,Harry Bridges Plaza (Ferry Building),50,394,Subscriber,94102
4999,405,8/29/13 19:58,Harry Bridges Plaza (Ferry Building),50,8/29/13 20:04,Spear at Folsom,49,282,Subscriber,94105
4751,406,8/29/13 16:57,San Francisco City Hall,58,8/29/13 17:04,Powell Street BART,39,462,Subscriber,94704
4996,410,8/29/13 19:57,Market at Sansome,77,8/29/13 20:04,Commercial at Montgomery,45,441,Customer,8540
4616,412,8/29/13 14:56,St James Park,13,8/29/13 15:02,Japantown,9,101,Customer,95020
4741,412,8/29/13 16:45,Adobe on Almaden,5,8/29/13 16:52,San Jose City Hall,10,679,Subscriber,95112
4910,412,8/29/13 18:37,Cowper at University,37,8/29/13 18:43,Palo Alto Caltrain Station,34,20,Customer,94303
4655,413,8/29/13 15:29,Grant Avenue at Columbus Avenue,73,8/29/13 15:36,Washington at Kearney,46,474,Customer,
4542,416,8/29/13 13:49,Commercial at Montgomery,45,8/29/13 13:56,Davis at Jackson,42,399,Customer,94111
4348,418,8/29/13 12:14,Temporary Transbay Terminal (Howard at Beale),55,8/29/13 12:21,Market at Sansome,77,628,Subscriber,94965
4435,418,8/29/13 12:55,Yerba Buena Center of the Arts (3rd @ Howard),68,8/29/13 13:02,Washington at Kearney,46,548,Customer,2142
4465,419,8/29/13 13:11,2nd at South Park,64,8/29/13 13:18,Post at Kearney,47,498,Subscriber,94117
4810,419,8/29/13 17:30,Market at 4th,76,8/29/13 17:37,Civic Center BART (7th at Market),72,546,Subscriber,94122
4641,420,8/29/13 15:19,Powell Street BART,39,8/29/13 15:26,San Francisco Caltrain (Townsend at 4th),70,522,Subscriber,94102
4571,421,8/29/13 14:07,Davis at Jackson,42,8/29/13 14:14,Commercial at Montgomery,45,621,Customer,94111
5077,422,8/29/13 21:47,Market at Sansome,77,8/29/13 21:54,Davis at Jackson,42,619,Customer,1719
4309,423,8/29/13 12:04,Steuart at Market,74,8/29/13 12:11,Embarcadero at Folsom,51,340,Subscriber,94127
4953,423,8/29/13 19:14,Clay at Battery,41,8/29/13 19:21,Market at 4th,76,606,Subscriber,94110
5067,423,8/29/13 21:38,San Francisco Caltrain (Townsend at 4th),70,8/29/13 21:45,San Francisco Caltrain 2 (330 Townsend),69,535,Subscriber,94133
4830,424,8/29/13 17:42,Spear at Folsom,49,8/29/13 17:49,Yerba Buena Center of the Arts (3rd @ Howard),68,334,Customer,
4464,425,8/29/13 13:09,San Francisco Caltrain 2 (330 Townsend),69,8/29/13 13:16,Townsend at 7th,65,318,Subscriber,94107
4529,425,8/29/13 13:40,Howard at 2nd,63,8/29/13 13:47,Spear at Folsom,49,361,Subscriber,94110
4296,430,8/29/13 12:00,Post at Kearney,47,8/29/13 12:08,2nd at South Park,64,593,Subscriber,94117
4784,430,8/29/13 17:13,Market at 10th,67,8/29/13 17:20,Golden Gate at Polk,59,506,Subscriber,94703
5004,430,8/29/13 20:05,Davis at Jackson,42,8/29/13 20:12,Market at Sansome,77,377,Subscriber,94110
4455,431,8/29/13 13:05,South Van Ness at Market,66,8/29/13 13:12,Powell Street BART,39,626,Subscriber,94122
5061,433,8/29/13 21:23,Commercial at Montgomery,45,8/29/13 21:30,Market at 4th,76,400,Subscriber,94131
4689,436,8/29/13 16:01,Embarcadero at Sansome,60,8/29/13 16:08,Harry Bridges Plaza (Ferry Building),50,584,Customer,94965
4904,436,8/29/13 18:26,Beale at Market,56,8/29/13 18:34,Embarcadero at Bryant,54,512,Subscriber,94123
5060,436,8/29/13 21:22,Commercial at Montgomery,45,8/29/13 21:30,Market at 4th,76,380,Subscriber,94131
4783,438,8/29/13 17:13,Market at 10th,67,8/29/13 17:20,Golden Gate at Polk,59,617,Subscriber,94115
4679,440,8/29/13 15:54,Golden Gate at Polk,59,8/29/13 16:02,Civic Center BART (7th at Market),72,397,Subscriber,94110
5013,440,8/29/13 20:13,Golden Gate at Polk,59,8/29/13 20:20,South Van Ness at Market,66,617,Customer,95816
5073,440,8/29/13 21:44,Steuart at Market,74,8/29/13 21:52,Embarcadero at Bryant,54,516,Subscriber,94105
4445,441,8/29/13 12:58,Harry Bridges Plaza (Ferry Building),50,8/29/13 13:06,Post at Kearney,47,625,Customer,94105
4343,445,8/29/13 12:14,Harry Bridges Plaza (Ferry Building),50,8/29/13 12:21,Howard at 2nd,63,603,Subscriber,94403
5015,449,8/29/13 20:13,Golden Gate at Polk,59,8/29/13 20:21,South Van Ness at Market,66,322,Subscriber,94115
4849,450,8/29/13 17:53,Market at 4th,76,8/29/13 18:01,San Francisco Caltrain (Townsend at 4th),70,592,Subscriber,94061
4901,450,8/29/13 18:26,2nd at Townsend,61,8/29/13 18:33,Yerba Buena Center of the Arts (3rd @ Howard),68,621,Customer,94608
4958,454,8/29/13 19:18,San Jose Diridon Caltrain Station,2,8/29/13 19:25,Paseo de San Antonio,7,91,Subscriber,95126
4967,454,8/29/13 19:35,Paseo de San Antonio,7,8/29/13 19:42,San Jose Diridon Caltrain Station,2,91,Subscriber,95126
4199,455,8/29/13 11:05,Grant Avenue at Columbus Avenue,73,8/29/13 11:13,Clay at Battery,41,409,Customer,95070
4905,459,8/29/13 18:28,Spear at Folsom,49,8/29/13 18:35,Mechanics Plaza (Market at Battery),75,341,Subscriber,94110
4298,460,8/29/13 12:02,Cowper at University,37,8/29/13 12:10,University and Emerson,35,9,Subscriber,94025
4486,460,8/29/13 13:16,Market at Sansome,77,8/29/13 13:24,Market at 4th,76,606,Customer,94158
4396,462,8/29/13 12:36,Yerba Buena Center of the Arts (3rd @ Howard),68,8/29/13 12:43,2nd at South Park,64,569,Customer,94133
4536,462,8/29/13 13:44,Powell Street BART,39,8/29/13 13:51,Golden Gate at Polk,59,316,Customer,94110
4761,462,8/29/13 17:01,Howard at 2nd,63,8/29/13 17:09,Powell Street BART,39,606,Subscriber,94703
4125,464,8/29/13 10:14,Mechanics Plaza (Market at Battery),75,8/29/13 10:22,Powell at Post (Union Square),71,528,Subscriber,94110
4314,464,8/29/13 12:07,Clay at Battery,41,8/29/13 12:14,Clay at Battery,41,409,Customer,94105
4837,466,8/29/13 17:46,San Francisco Caltrain (Townsend at 4th),70,8/29/13 17:54,Townsend at 7th,65,361,Customer,94107
